t,p_b_x,p_b_y,p_b_z,phi_b_z,phi_b_y,phi_b_x,dp_b_x,dp_b_y,dp_b_z,dphi_b_z,dphi_b_y,dphi_b_x,ddp_b_x,ddp_b_y,ddp_b_z,ddphi_b_z,ddphi_b_y,ddphi_b_x,p_m_x,p_m_y,p_m_z,p_e_x,p_e_y,p_e_z,dp_m_x,dp_m_y,dp_m_z,dp_e_x,dp_e_y,dp_e_z
2.156,0.40418563181518846,0.0010852653893527464,0.6420328509786283,0.005902223467111116,-0.47850178530115595,0.1565993997389599,0.00010941917093175703,-3.691000368215324e-05,-0.00015318617658788102,0.00032920851493033025,0.000397541490825868,-0.0002768135169167614,0.00048355920810747277,0.000714565621579666,0.0008856150066683301,0.003867934430965463,-0.0004693562053029116,-0.0037318630367945715,1.135558481475979,0.03275140123632957,0.21466806351215237,1.6125353354102043,0.07077437374491728,-0.6402108337352695,7.825723036258829e-05,-4.9714560107494374e-05,0.0001162678565369556,0.00011133013466668719,0.00014435293760502163,6.933744990667006e-05
2.16,0.4041856305129091,0.0010852628370062393,0.6420328983614838,0.0059022400420314395,-0.4785018720069638,0.15659937192113305,0.0001112384847865412,-3.3890043750660134e-05,-0.00014949491728358214,0.00034462420892652113,0.00039518116409096253,-0.0002914969263968735,0.0004244480491598761,0.0007941026025642706,0.0009577287593712885,0.0038312716890210818,-0.0007092270757430542,-0.0036016388665695872,1.1355587979861588,0.03275119751979438,0.214668531252984,1.612535776371399,0.07077494950693329,-0.6402105539271257,7.992566652958992e-05,-5.204980306830471e-05,0.00011740774999782755,0.00010914093828695561,0.0001435422540430746,7.06665820443541e-05
2.164,0.4041856289152242,0.0010852603733026512,0.642032942505858,0.005902251570613448,-0.47850195187110883,0.15659934986563792,0.00011281487669751146,-3.055695439387301e-05,-0.0001455242525384646,0.00035986050561853883,0.00039186650743609644,-0.0003056305227562573,0.0003622681306401396,0.0008708884262244819,0.001025147144628897,0.0037781213639767413,-0.0009458859828787217,-0.0034571220088892214,1.1355591208813112,0.03275098483790503,0.21466900277415235,1.6125362085377106,0.07077552208294963,-0.6402102684026132,8.14493417156114e-05,-5.420033893921423e-05,0.00011816266129796571,0.00010693938179429087,0.00014275766417257127,7.218902886574334e-05
2.168,0.404185627027389,0.0010852579936615687,0.6420329830478135,0.005902257990916955,-0.4785020242563303,0.1565993336498506,0.00011413673324561449,-2.6922707996943306e-05,-0.00014129363711306135,0.00037485102246170886,0.000387612799329842,-0.0003191578502290578,0.00029736106727466707,0.0009444477752295188,0.0010875460106749104,0.003708327277838971,-0.0011781231027184766,-0.0032987174009540183,1.1355594495808925,0.03275076391708286,0.21466947655427437,1.6125366318864534,0.07077609156824667,-0.6402099764148947,8.28277315623182e-05,-5.617261622167797e-05,0.00011854272521927267,0.00010473874612060276,0.000141994407407489,7.389088441112073e-05
2.172,0.40418562485616155,0.0010852556911693373,0.642033019644263,0.00590225926832924,-0.4785020885729763,0.15659932332043028,0.00011519384958403879,-2.3001145100658165e-05,-0.0001368237735566411,0.00038952898291083745,0.00038244013834616976,-0.0003320242445944677,0.0002300883019531248,0.0010143235069015853,0.0011446263301734079,0.0036218503886037796,-0.0014047415905705232,-0.003126915525629371,1.1355597835031637,0.032750535456975254,0.2146699511159541,1.6125370464476796,0.07077665803820889,-0.6402096772755379,8.406071549948982e-05,-5.797349650338285e-05,0.00011855971651653075,0.00010255204263565067,0.000141247308559425,7.57568978659861e-05
2.176,0.40418562240981915,0.0010852534566665288,0.6420330519761304,0.005902255395727176,-0.47850214428399335,0.15659931889315123,0.00011597750403739924,-1.880789531498493e-05,-0.0001321365090178727,0.0004038276917290219,0.000376373378806127,-0.00034417717352835654,0.00016082868019095143,0.0010800797738725813,0.0011961154728545053,0.003518771639869746,-0.0016245637901629339,-0.0029422911311612087,1.1355601220666165,0.032750300129110836,0.2146704250320065,1.6125374523027944,0.07077722154671515,-0.6402093703597118,8.514848359730812e-05,-5.961010094215896e-05,0.00011822687892570894,0.00010039186174037863,0.00014051080350976894,7.777057031699279e-05
2.18,0.40418561969817224,0.0010852512788553557,0.6420330797512626,0.005902246393416968,-0.47850219090937185,0.1565993203529473,0.00011648052274216674,-1.4360286025082504e-05,-0.00012725472723970865,0.0004176810196814814,0.00036944204160985184,-0.00035556657058672037,8.997590659681363e-05,0.001141304995017484,0.0012417683385540104,0.0033992937838846077,-0.0018364374102530626,-0.002745501325966093,1.1355604646910324,0.032750058576167716,0.2146708969309855,1.6125378495825735,0.07077778212463696,-0.6402090551109754,8.609144797055982e-05,-6.10896581714967e-05,0.00011755874892993557,9.827022842689984e-05,0.00013977896743712346,7.991426187459176e-05
2.184,0.40418561673257636,0.001085249144425968,0.6420331027070686,0.0059022323088505505,-0.478502228030014,0.15659932765416884,0.00011669733389402292,-9.677239535195351e-06,-0.0001222022363023046,0.00043102389343490245,0.0003616802004491969,-0.0003661451603208731,1.7935902570765587e-05,0.001197614654162465,0.0012813683484723128,0.003263742146890204,-0.0020392416386232366,-0.0025372830517351426,1.1355608107982003,0.032749811411845464,0.21467136550199795,1.6125382384646219,0.07077833977845464,-0.6402087310456168,8.689016151031118e-05,-6.241935536065857e-05,0.00011657097553907636,9.619846941255608e-05,0.00013904554547507206,8.21693072472484e-05
2.188,0.40418561352594434,0.0010852470382005039,0.6420331206128551,0.005902213216122566,-0.4785022552909785,0.15659934072104978,0.00011662401124594573,-4.779159383226397e-06,-0.00011700365268476151,0.00044379278637805337,0.00035312634371168584,-0.0003758687720474215,-5.4875915031282426e-05,0.0012486539054812967,0.0013147282933577864,0.0031125643157385446,-0.0022318931634779664,-0.0023184499432112628,1.1355611598123245,0.03274955922132483,0.21467182949878982,1.6125386191703288,0.07077889448900077,-0.6402083977565174,8.75452461635006e-05,-6.360619415196606e-05,0.00011528013738049115,9.418709479014345e-05,0.00013830398572396694,8.451613697779684e-05
2.192,0.4041856100927585,0.0010852449432931476,0.6420331332718446,0.005902189215240171,-0.4785022724040897,0.1565993594483845,0.00011625830658067407,3.121933598549417e-07,-0.00011168428221994194,0.00045592620601582094,0.0003438232125062592,-0.00038469663983972105,-0.00012803741418690993,0.0012940999660809862,0.0013416910381773227,0.002946328735140674,-0.0024133520725025037,-0.0020898885881002636,1.1355615111601696,0.03274930256229225,0.214672287743097,1.6125389919613802,0.07077944621034044,-0.640208054916521,8.805733253680606e-05,-6.465685316921899e-05,0.00011370355895712327,9.224569508248229e-05,0.00013754747455081693,8.693440245455256e-05
