t,p_b_x,p_b_y,p_b_z,phi_b_z,phi_b_y,phi_b_x,dp_b_x,dp_b_y,dp_b_z,dphi_b_z,dphi_b_y,dphi_b_x,ddp_b_x,ddp_b_y,ddp_b_z,ddphi_b_z,ddphi_b_y,ddphi_b_x,p_m_x,p_m_y,p_m_z,p_e_x,p_e_y,p_e_z,dp_m_x,dp_m_y,dp_m_z,dp_e_x,dp_e_y,dp_e_z
3.192,0.4041781136790079,0.0012834013885556473,0.6420181330465687,0.006682890577598173,-0.47845046049999407,0.15666799721423919,5.910687031544916e-05,-0.00013447067807836465,-3.776200450343693e-05,4.509328893178589e-05,0.0003872149692470741,-0.00010619281782583162,1.9891611679269183e-05,-0.0008822173768188191,0.0004678015418045198,0.0019060685329511816,-0.000902032528086361,-0.0019795082235529718,1.1343849748597044,0.03122903029250015,0.21103249550596023,1.6124402216055866,0.06854566526969819,-0.6430033612052121,-9.6957362138994e-06,-9.569551358366143e-06,5.424567545153631e-06,-5.533187730222262e-05,6.637098731721019e-06,-4.8392436946542676e-05
3.196,0.40417812198223163,0.0012833859742186948,0.6420180740568491,0.00668287976375167,-0.47845033648386137,0.15666800818023463,5.915903625556404e-05,-0.00013788712977264497,-3.58345329956412e-05,5.224573001837445e-05,0.00038326989053533877,-0.00011381165591998677,6.863628915564475e-06,-0.0008250366233426365,0.0004936979714841485,0.0016621838372622676,-0.0010662580525783883,-0.0018226352625132032,1.1343849357941003,0.03122899693526246,0.2110325112157033,1.6124399940465466,0.06854569335761052,-0.6430035535493474,-9.862756944478682e-06,-7.109356939087591e-06,2.390547534231178e-06,-5.844896344697753e-05,7.456846612408079e-06,-4.785900964421326e-05
3.2,0.4041781303352644,0.0012833714499439683,0.6420180162219984,0.006682868058048551,-0.47845021258862286,0.15666802008439776,5.916207194847083e-05,-0.00014107066273665546,-3.381223382178304e-05,5.83917422075229e-05,0.00037868454674161553,-0.00012077508129641839,-4.6973184946435674e-06,-0.0007659003316046765,0.0005150690508095629,0.0014036947241284911,-0.0012215576255447506,-0.001652341185390541,1.1343848959576488,0.031228973417644638,0.2110325146303405,1.612439754013879,0.06854572492447109,-0.6430037440772892,-1.0082728096882923e-05,-4.656259942718839e-06,-7.170917228072054e-07,-6.155560750009664e-05,8.372746551632553e-06,-4.7487410892443864e-05
3.204,0.40417813874601927,0.0012833578943822577,0.6420179597283752,0.006682855345944855,-0.4784500892038837,0.15666803298082888,5.912177671509687e-05,-0.00014401401040025014,-3.171377854248644e-05,6.347631068544165e-05,0.00037349704655551935,-0.0001270316416069377,-1.4832421608350008e-05,-0.0007050915790418695,0.0005316514693710532,0.0011323440784362301,-0.0013667767511744632,-0.0014697835714529133,1.1343848551322755,0.031228959685182918,0.2110325054789695,1.6124395016016866,0.06854576033958293,-0.6430039334486345,-1.0358589097592122e-05,-2.223087969353136e-06,-3.886511390494004e-06,-6.462566348730542e-05,9.376768236868385e-06,-4.728293789835188e-05
3.208,0.40417814721824613,0.0012833453802817802,0.6420179047608732,0.00668284151160678,-0.4784499667287991,0.156668046919816,5.9043756321783126e-05,-0.00014671106045710026,-2.955880565556928e-05,6.74515509146718e-05,0.0003677499263680812,-0.00013253466631780593,-2.3596879738379796e-05,-0.0006429035250320752,0.0005432263827131642,0.0008499481110531616,-0.0015008612056061092,-0.0012761913895025958,1.134384813088936,0.031228955632940883,0.21103248353824938,1.6124392370085712,0.06854579993861698,-0.6430041223407924,-1.0692868368522558e-05,1.7778107588503606e-07,-7.1057999206924845e-06,-6.76331562143861e-05,1.0460152868874131e-05,-4.724918623022485e-05
3.212,0.40417815575129323,0.0012833339740508187,0.6420178515023318,0.006682826439144249,-0.47844984557085096,0.1566680619472719,5.8933368169723766e-05,-0.00014915689173514523,-2.736773766478979e-05,7.027697753317234e-05,0.00036148972922206093,-0.00013724253459054627,-3.105923560509205e-05,-0.0005796376216869473,0.0005496217524042826,0.0005583840087975576,-0.0016228665917413976,-0.0010728559352676372,1.1343847695893285,0.031228961107431525,0.21103244863257015,1.6124389605364369,0.06854584402080588,-0.6430043114421243,-1.1087651907715202e-05,2.534478645184466e-06,-1.036303323709297e-05,-7.055253872789706e-05,1.1613469443061398e-05,-4.7388031165773685e-05
3.216,0.40417816433991205,0.0012833237353638523,0.6420178001329171,0.006682810013856865,-0.47844972614452874,0.15666807810420488,5.879566938772367e-05,-0.00015134780366488074,-2.5161589551657715e-05,7.191972337510816e-05,0.0003547665472114801,-0.00014111890626228811,-3.7300592797471143e-05,-0.0005156017094972117,0.0005507142930794403,0.00025957738475556864,-0.0017319670138893281,-0.0008611214800038681,1.1343847243877208,0.031228975908770044,0.21103240063398349,1.6124386725882613,0.06854589284637252,-0.6430045014450417,-1.1544556643983118e-05,4.8357011147095965e-06,-1.364633359091093e-05,-7.33589491375141e-05,1.2826675686861121e-05,-4.7699626026798074e-05
3.22,0.40417817297411085,0.0012833147168141363,0.6420177508294737,0.006682792123478176,-0.4784496088699039,0.15666809542622853,5.863536828690065e-05,-0.0001532813379134721,-2.2961770264668067e-05,7.235470797031707e-05,0.00034763353102035185,-0.00014413291490543317,-4.241372197491823e-05,-0.0004511080128765381,0.0005464310070644235,-4.451039338682761e-05,-0.0018274627912261846,-0.0006423756992517211,1.1343846772328754,0.031228999793040443,0.21103233946190142,1.6124383736648438,0.06854594663421137,-0.6430046930391325,-1.2064707455294855e-05,7.0707609845302384e-06,-1.694392642859198e-05,-7.60284628587015e-05,1.4089183278387362e-05,-4.818241849946499e-05
3.224,0.4041781816390594,0.0012833069636157238,0.6420177037648546,0.00668277265941385,-0.4784494941710964,0.15666811394311156,5.84567796081047e-05,-0.00015495629181577,-2.0789878911262902e-05,7.15647551870936e-05,0.00034014637060140215,-0.00014625932222263292,-4.650206325399988e-05,-0.00038647105202173137,0.0005367502906083325,-0.00035189492106615396,-0.0019087871361493669,-0.0004180399505222213,1.1343846278700611,0.03122903247485792,0.21103226508257206,1.6124380643605585,0.06854600555983875,-0.6430048869043897,-1.2648715852492375e-05,9.229633485437197e-06,-2.02441948760068e-05,-7.853833650095503e-05,1.5389926846798283e-05,-4.883318494020013e-05
3.228,0.40417819031505003,0.0012833005133574607,0.6420176591072368,0.006682751517966715,-0.4784493824746412,0.15666813367836946,5.826378396103984e-05,-0.00015637272330158884,-1.866749739472626e-05,6.954065998291122e-05,0.0003323627512764781,-0.00014747863330762692,-4.967863317687261e-05,-0.00032200548871902715,0.0005217025993351926,-0.0006605814467837031,-0.001975511731430186,-0.00018955946800997776,1.1343845760431486,0.031229073630108326,0.2110321775083424,1.6124377453581518,0.06854606975362615,-0.6430050837046121,-1.329666021732122e-05,1.130299839228326e-05,-2.353573166913312e-05,-8.08672415697486e-05,1.6717436298122043e-05,-4.964708166799165e-05
