t,p_b_x,p_b_y,p_b_z,phi_b_z,phi_b_y,phi_b_x,dp_b_x,dp_b_y,dp_b_z,dphi_b_z,dphi_b_y,dphi_b_x,ddp_b_x,ddp_b_y,ddp_b_z,ddphi_b_z,ddphi_b_y,ddphi_b_x,p_m_x,p_m_y,p_m_z,p_e_x,p_e_y,p_e_z,dp_m_x,dp_m_y,dp_m_z,dp_e_x,dp_e_y,dp_e_z
3.56,0.4042130067029954,0.0009885034597571184,0.6421608606312161,0.00575169041190908,-0.47833275143833043,0.15652836321210922,-8.931482766352067e-05,-5.289263539925623e-05,8.229230535760276e-05,-7.153330224730103e-05,-0.0002204652243957819,0.00010212825161053923,0.00026357815647418326,0.0011963766310661096,-0.0003671508915520493,0.001354806322418907,0.0013132456673130102,0.00026096017558022757,1.1336728974719263,0.031489093532995525,0.2108772516112042,1.6095680119836575,0.06886063086576075,-0.6444346544186029,-1.1507217623218925e-05,-1.3078100078583998e-05,-6.74200978378891e-06,1.580162845016274e-05,-1.3073393534401833e-05,5.3403387600958704e-05
3.564,0.4042130082541062,0.000988514756331202,0.6421609013630403,0.005751700226217081,-0.47833283873089083,0.15652838441334418,-8.811982305793236e-05,-4.7907694222836275e-05,8.078289274018854e-05,-6.57731479996512e-05,-0.000214960672670061,0.00010284410240651323,0.0003326998196648056,0.001293360389428033,-0.00038797102090970043,0.001521853088723697,0.00143702773306143,9.54840938605088e-05,1.133672851757202,0.03148904285049641,0.21087722109599183,1.6095680761320454,0.0688605780517377,-0.644434445461657,-1.1307872860299984e-05,-1.2260134400754453e-05,-8.531493400631966e-06,1.6221825660522868e-05,-1.335342506014746e-05,5.094123989302086e-05
3.568,0.40421300918653646,0.0009885266931844655,0.6421609469904955,0.0057517123590231515,-0.4783329365661507,0.15652840411583477,-8.665325484228992e-05,-4.254581817224765e-05,7.918859243019219e-05,-5.935838409199451e-05,-0.000208969032315702,0.00010289163614852454,0.00039918615789467926,0.0013845906958226645,-0.0004096229710167962,0.0016817292010610735,0.0015565973612678386,-7.283044148079277e-05,1.1336728070089435,0.03148899545192032,0.21087718335925698,1.6095681417582628,0.06886052403836027,-0.6444342468886838,-1.102420243981327e-05,-1.1438723457150847e-05,-1.0348385343084124e-05,1.6537424540885568e-05,-1.3673261509139489e-05,4.821796661946816e-05
3.572,0.40421300947664396,0.0009885392233451695,0.6421609973160025,0.005751726700902676,-0.4783330443803876,0.15652842228433975,-8.492636262074725e-05,-3.683103042829729e-05,7.750596261712335e-05,-5.2319229976798244e-05,-0.000202507921809473,0.0001022609956644661,0.00046269726239359305,0.0014695812574090296,-0.0004321537355147698,0.0018336868126536767,0.0016715725625236501,-0.00024322112398697087,1.1336727635635824,0.031488951340708754,0.21087713830890908,1.6095682084314418,0.06886046866564563,-0.644434059717924,-1.065691868085138e-05,-1.0618971215368967e-05,-1.218382700285402e-05,1.67424361041668e-05,-1.4033161480075928e-05,4.524728114407846e-05
3.576,0.40421300910548374,0.0009885522953162363,0.6421610521126389,0.005751743126592881,-0.4783331615511121,0.15652843889226176,-8.295170800257169e-05,-3.0789225056642836e-05,7.573141449251932e-05,-4.468881466742619e-05,-0.0001955964780473291,0.00010094543304475022,0.0005229131321878449,0.001547884380057771,-0.00045558958396045535,0.0019770206250205383,0.0017815772204070536,-0.0004148972908618054,1.133672721753594,0.031488910500150596,0.21087708588864096,1.6095682756977516,0.06886041177306843,-0.6444338849104346,-1.0207293232866724e-05,-9.805839012305686e-06,-1.4028807643340346e-05,1.6831387394944372e-05,-1.4433134049030003e-05,4.2044009163078004e-05
3.58,0.4042130080590497,0.000988565853410341,0.6421611111250795,0.005751761496219236,-0.47833328740089304,0.15652845392147355,-8.07430905440382e-05,-2.444800694032471e-05,7.38612961335118e-05,-3.6502999904264886e-05,-0.00018825532844438878,9.894141594256252e-05,0.0005795358221535439,0.0016190936548424054,-0.0004799356824971744,0.0021110710611572433,0.001886243355296393,-0.0005870435798559395,1.1336726819052365,0.031488872893996656,0.21087702607844794,1.609568343082541,0.06886035320057324,-0.6444337233658507,-9.677167289723334e-06,-9.004124616046596e-06,-1.587420928039761e-05,1.679935812681775e-05,-1.4872932552201221e-05,3.862398190168644e-05
3.584,0.40421300632848306,0.0009885798381189838,0.6421611740707083,0.005751781656667956,-0.4783334212014737,0.1565284673620731,-7.831545537168593e-05,-1.783652156959676e-05,7.189197744687835e-05,-2.7800191205701857e-05,-0.00018050655375034444,9.624871880342607e-05,0.0006322914462375868,0.0016828463322103929,-0.0005051759424759028,0.0022352271397044223,0.0019852134914636254,-0.0007588238000598584,1.1336726443362557,0.03148883846715367,0.21087695889496672,1.6095684100926166,0.06886029278960801,-0.6444335759185794,-9.068957806945824e-06,-8.218443450086481e-06,-1.7710851979435543e-05,1.664201265683117e-05,-1.535205036706787e-05,3.500392709021579e-05
3.588,0.404213003910241,0.000988594186512508,0.6421612406409034,0.005751803443087834,-0.47833356217815326,0.15652847921207189,-7.568479309957613e-05,-1.0985275977104077e-05,6.981993526264334e-05,-1.8621138041260738e-05,-0.00017237364121426175,9.287049820909065e-05,0.0006809320196303293,0.0017388253658723722,-0.0005312730955147605,0.002348929030654254,0.002078143102904087,-0.0009293849957942097,1.133672609353574,0.031488807146449055,0.2108768843916321,1.6095684762186422,0.0688602303841703,-0.644433443334434,-8.385658611942397e-06,-7.453212037128447e-06,-1.9529539263540824e-05,1.6355627741049248e-05,-1.5869718719696544e-05,3.120135849687952e-05
3.592,0.4042130008062209,0.0009886088326679311,0.6421613105024971,0.005751826680501596,-0.47833370951440785,0.1565284894770252,-7.28680327160591e-05,-3.925952172728522e-06,6.764183767670877e-05,-9.008724437503562e-06,-0.0001638814278346198,8.881335160720287e-05,0.0007252371247370394,0.0017867611113506477,-0.0005581689913402646,0.0024516702755364266,0.0021647031116397053,-0.0010978616812231921,1.1336725772509868,0.03148877884145737,0.2108768026586526,1.6095685409376386,0.06886016583185825,-0.6444333263077114,-7.630836185157357e-06,-6.7126337257791765e-06,-2.1321103521598752e-05,1.593711718150813e-05,-1.6424906545964277e-05,2.723446568264618e-05
3.596,0.4042129970238395,0.0009886237081206508,0.6421613832994063,0.00575185118549985,-0.47833386235671577,0.15652849816961384,-6.98829281738853e-05,3.3087855132787554e-06,6.535462676085524e-05,9.922486095025049e-07,-0.0001550560335385774,8.408735879053753e-05,0.0007650153869991365,0.001826432667193749,-0.0005857851126860368,0.0025429996576779457,0.002244582410839854,-0.0012633802219371095,1.1336725483068846,0.03148875344537925,0.21087671382280393,1.6095686037155796,0.06886009898491793,-0.6444332254587085,-6.8086207782869164e-06,-6.0006866446291e-06,-2.307645155519287e-05,1.5384055807032823e-05,-1.7016322378937674e-05,2.3122004977338386e-05
