t,p_b_x,p_b_y,p_b_z,phi_b_z,phi_b_y,phi_b_x,dp_b_x,dp_b_y,dp_b_z,dphi_b_z,dphi_b_y,dphi_b_x,ddp_b_x,ddp_b_y,ddp_b_z,ddphi_b_z,ddphi_b_y,ddphi_b_x,p_m_x,p_m_y,p_m_z,p_e_x,p_e_y,p_e_z,dp_m_x,dp_m_y,dp_m_z,dp_e_x,dp_e_y,dp_e_z
2.192,0.4041782176738232,0.0010825468043832614,0.6419988630108747,0.005895419386495449,-0.4783271285891766,0.15649049770313653,8.88319095451332e-06,-9.367527648795952e-05,0.00011077817634504476,-0.00012969063926839689,-0.0002740895383051538,1.7942861367866142e-05,-0.0006189213081266216,0.0012123158234362654,0.0016241829541423106,-0.00016866120536566319,-0.003659995299844202,0.0005651528909659232,1.1333937122408537,0.029883237392303547,0.20988125570429758,1.6098689900996501,0.06534740798685593,-0.6454852325553285,1.6028243177146336e-06,-5.678830290040122e-05,8.06855041668441e-05,-0.00011029926216821186,3.52972283831909e-05,0.0001022146151052893
2.196,0.40417817739683404,0.0010825042292713634,0.6419989897705091,0.00589520438333923,-0.4783274688704001,0.15649074173741231,6.3349188954586494e-06,-8.871373096128781e-05,0.00011720731513907838,-0.0001304301587083448,-0.00028868740705636516,2.012037275554778e-05,-0.0006517223074064518,0.001268571982245521,0.001584439444025851,-0.000193254480408397,-0.003625343550788275,0.000519354797536428,1.1333937286658502,0.02988300247841823,0.20988159231891376,1.6098685362931395,0.0653475535168759,-0.6454848307844719,6.6326819592177285e-06,-6.055395178686246e-05,8.734213857719545e-05,-0.00011642597930183729,3.7390959717331606e-05,9.827909752679878e-05
2.2,0.40417813708276273,0.0010824638088342677,0.6419991058412349,0.005894987906128799,-0.47832778794510555,0.15649099244967085,3.6693197523400382e-06,-8.352660951317211e-05,0.0001234537003517018,-0.0001312366314591459,-0.00030309230509091285,2.2098015425374124e-05,-0.0006774457552891673,0.0013249843082382665,0.0015328957920858906,-0.00020216604042053429,-0.003563535588852466,0.0004655597304752207,1.1333937653023094,0.029882752960689252,0.2098819544414062,1.6098680586918157,0.06534770711453367,-0.6454844463225483,1.1693526813516531e-05,-6.407612305678318e-05,9.340958262438184e-05,-0.00012216835165723683,3.9321839208350495e-05,9.356538765992176e-05
2.204,0.4041780970093146,0.0010824259684475452,0.6419992101989814,0.005894771590069432,-0.47832808299672097,0.15649124822105123,9.152493126262558e-07,-7.811377465962531e-05,0.00012947047939204705,-0.00013204743331082875,-0.0003171957089116168,2.3845117914286926e-05,-0.000695847511005105,0.0013812954355039114,0.001469774071125137,-0.00019553659307423158,-0.0034747438057808042,0.0004044758918890663,1.1333938222140647,0.029882489869433777,0.20988233959557476,1.6098675589463263,0.06534786809158957,-0.6454840822613707,1.6754590825840396e-05,-6.732697546696359e-05,9.882958476592477e-05,-0.00012746988442557939,4.107156937466213e-05,8.808651441594143e-05
2.208,0.40417805746238583,0.0010823911319587606,0.6419993018630762,0.00589455712770769,-0.4783283512749979,0.15649150733397435,-1.8975723868833188e-06,-7.24761741770437e-05,0.00013521187997694726,-0.0001328008590232037,-0.000330890270768298,2.533403218597382e-05,-0.0007067406371173812,0.0014372204500958457,0.0013953914212737803,-0.00017368451573334604,-0.0033593820296853355,0.0003369043682495483,1.133393899339036,0.029882214344885517,0.20988274507808433,1.6098670389327403,0.06534803568708866,-0.645483741630433,2.1783760351112826e-05,-7.027948653245957e-05,0.00010354706606041643,-0.00013227459061404534,4.2622149969140336e-05,8.186062816495358e-05
2.212,0.4041780187342835,0.0010823597182840982,0.6419993799047001,0.005894346257902773,-0.47832859011899764,0.15649176798171696,-4.7387938746493014e-06,-6.661594977432613e-05,0.00014063358679943406,-0.00013343683150344096,-0.00034407077773705393,2.6540495611381562e-05,-0.0007099971659233279,0.0014924477940128269,0.0013101578526574504,-0.00013710432250571656,-0.003218101133777847,0.0002637338814045499,1.1333939964841475,0.029881927633541517,0.20988316797210324,1.6098665007496014,0.06534820906878933,-0.6454834273763453,2.6747736026067036e-05,-7.290764184042502e-05,0.00010751058873714738,-0.00013652745645131848,4.395599918598221e-05,7.491102227419326e-05
2.216,0.40417798112183434,0.001082332137904265,0.6419994434552612,0.005894140754017545,-0.47832879698021685,0.15649202827905662,-7.577671227735617e-06,-6.053654157028704e-05,0.00014569310782531055,-0.00013389760176499835,-0.00035663508900574944,2.744397024280247e-05,-0.0007055494093809113,0.0015466404599175762,0.0012145732669432184,-8.646358950211677e-05,-0.0030517825573287576,0.00018593469805283126,1.1333941133209242,0.029881631083750793,0.20988360516279422,1.6098659467130887,0.06534838733508215,-0.6454831423422548,3.1612212847420524e-05,-7.518662427027916e-05,0.00011067281210919146,-0.00014017492055984335,4.505607722159184e-05,6.726611767593477e-05
2.22,0.40417794492439507,0.0010823087892825128,0.6419994917146201,0.005893942411376534,-0.4783289694456736,0.15649228627395356,-1.0383311368957383e-05,-5.4242787210163165e-05,0.00015035012713023746,-0.00013412843350406062,-0.00036848504312303254,2.8027956066152124e-05,-0.000693390800104796,0.0015994374771130836,0.0011092237195768169,-2.2598346253516503e-05,-0.0028615298021676112,0.00010455172745383223,1.1333942493818503,0.029881326140547355,0.20988405335460011,1.6098653793502369,0.0653485695174071,-0.6454828892474039,3.634208045610873e-05,-7.709300201387888e-05,0.0001129909322772348,-0.00014316536578462533,4.590601151988057e-05,5.8959409021674904e-05
2.224,0.4041779104417731,0.0010822900552293546,0.6419995239590988,0.005893753034051917,-0.47832910526076544,0.15649253996022117,-1.312491778044146e-05,-4.774101445739026e-05,0.0001545668412903473,-0.00013407826618520968,-0.00037952732725796953,2.82802750484473e-05,-0.0006735762547351265,0.0016504556870198047,0.0009947769510619535,5.3493046891927106e-05,-0.0026486579859700985,2.0696843709390926e-05,1.1333944040575679,0.029881014339734682,0.20988450909025244,1.6098648013901624,0.06534875458317431,-0.6454826706669826,4.090164074099786e-05,-7.860491423776824e-05,0.00011442710254327961,-0.00014544962168017137,4.649022302544155e-05,5.002937275566661e-05
2.228,0.4041778779720743,0.0010822762992402056,0.6419995395491969,0.00589357442104848,-0.4783292023517018,0.15649278729112595,-1.577203670899199e-05,-4.103912610845421e-05,0.00015830827646575238,-0.00013370035063120292,-0.00038967430087749535,2.819332295607379e-05,-0.0006462220548155759,0.0016992918040550891,0.0008719772219522224,0.0001406575036956607,-0.0024146815507212066,-6.445952457034194e-05,1.1333945765949762,0.029880697301233453,0.20988496877142046,1.6098642157532634,0.0653489414391913,-0.6454824890124219,4.525484098572004e-05,-7.970225323434756e-05,0.00011494883170315429,-0.00014698147143832316,4.6794052771526e-05,4.0519338218025746e-05
